ticker,name,market,sector,market_cap,total_score,grade,growth_score,sector_score,momentum_score,value_score,d_eps_growth,d_revenue_cagr,d_operating_margin,d_sector_flow,d_analyst_reports,d_news_multiplier,d_volume_multiplier,d_week52_position,d_institutional_buying,d_forward_peg,d_pbr_ratio,raw_eps_growth_pct,raw_revenue_cagr_pct,raw_operating_margin_trend,raw_volume_multiplier,raw_week52_position_pct,raw_institutional_buying,raw_pbr_vs_sector,raw_forward_peg,raw_sector_flow,raw_analyst_count,raw_news_multiplier,last_updated
002150,도화엔지니어링,"market    KOSPI
market      STK
Name: 1006, dtype: object",,1709.604,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.54,66.27,,,,,0,,2026-09-21 13:48:06
143160,아이디스,"market    KOSDAQ
market       KSQ
Name: 1007, dtype: object",,1704.977649,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.17,76.67,,,,,0,,2026-09-21 13:48:06
270660,에브리봇,"market    KOSDAQ
market       KSQ
Name: 1008, dtype: object",,1704.3452969,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.32,42.29,,,,,0,,2026-09-21 13:48:08
382800,지앤비에스 에코,"market    KOSDAQ
market       KSQ
Name: 1009, dtype: object",,1702.9606935,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.65,53.4,,,,,0,,2026-09-21 13:48:09
003460,유화증권,"market    KOSPI
market      STK
Name: 1012, dtype: object",,1689.731967,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.09,60.63,,,,,0,,2026-09-21 13:48:13
274090,켄코아에어로스페이스,"market    KOSDAQ
market       KSQ
Name: 1013, dtype: object",,1688.7177782,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.98,31.79,,,,,0,,2026-09-21 13:48:14
138610,나이벡,"market    KOSDAQ
market       KSQ
Name: 1014, dtype: object",,1688.1172605,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.32,27.44,,,,,0,,2026-09-21 13:48:15
049630,재영솔루텍,"market    KOSDAQ
market       KSQ
Name: 1015, dtype: object",,1686.9630358,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.57,18.0,,,,,0,,2026-09-21 13:48:16
149950,아바텍,"market    KOSDAQ
market       KSQ
Name: 1016, dtype: object",,1686.5945502,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.32,63.01,,,,,0,,2026-09-21 13:48:17
0015G0,그린광학,"market    KOSDAQ
market       KSQ
Name: 1017, dtype: object",,1685.165904,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.92,26.69,,,,,0,,2026-09-21 13:48:18
